"Date","Number of items sold","Sales amount"
"2023-7","4","478"
"2023-8","1","119.50"
"2023-9","5","597.50"
"2023-10","1","119.50"
"2023-11","1","119.50"
"2023-12","0","0"
"2024-1","2","239"
"2024-2","2","239"
"2024-3","4","478"
"2024-4","2","239"
"2024-5","1","119.50"
"2024-6","1","119.50"
"2024-7","1","119.50"
"2024-8","1","119.50"
"2024-9","7","836.50"
"2024-10","1","119.50"
"2024-11","3","358.50"
"2024-12","0","0"
"2025-1","2","239"
"2025-2","0","0"
"2025-3","2","239"
"2025-4","0","0"
"2025-5","1","119.50"
"2025-6","2","239"
"2025-7","0","0"
"2025-8","1","119.50"
"2025-9","8","956"
"2025-10","0","0"
"2025-11","1","119.50"
"2025-12","0","0"
"2026-1","0","0"
"2026-2","1","119.50"
"2026-3","0","0"
"2026-4","1","119.50"
"2026-5","1","119.50"
"2026-6","5","597.50"
"2026-7","3","358.50"
